Company,Mean Return,Volatility,Zone
AB,0.0006929935599323041,0.010885495036494417,"Gold Zone (High Return, Low Risk)"
AETEC,0.00042658966504469304,0.032420846112170075,"Speculative Zone (High Return, High Risk)"
ALKM,-0.00019359582125808825,0.03445225347323528,"Danger Zone (Low Return, High Risk)"
AL,0.0005490931677973687,0.018034239023845978,"Speculative Zone (High Return, High Risk)"
AMV,0.0001032167677714184,0.008281044221191945,"Safe Zone (Low Return, Low Risk)"
ARTES,0.0006633797047590097,0.018135725446924555,"Speculative Zone (High Return, High Risk)"
ASSAD,-0.0011681554109345257,0.01763519309869282,"Safe Zone (Low Return, Low Risk)"
ASSMA,2.857207160705603e-05,0.013630948799130434,"Safe Zone (Low Return, Low Risk)"
AST,-0.0013196543297557288,0.014110864869275864,"Safe Zone (Low Return, Low Risk)"
ATL,0.0012391326671079429,0.017077920082677674,"Gold Zone (High Return, Low Risk)"
BHASS,-0.0008949864100590871,0.012122839218656244,"Safe Zone (Low Return, Low Risk)"
BHL,0.002145278558117904,0.034420610384200655,"Speculative Zone (High Return, High Risk)"
BH,0.0004616680303963452,0.016467244617992444,"Gold Zone (High Return, Low Risk)"
BIAT,-0.0017089364118814737,0.013451709800312753,"Safe Zone (Low Return, Low Risk)"
BL,0.00165914962642622,0.03647139827919646,"Speculative Zone (High Return, High Risk)"
BNA,-0.00023090973408215182,0.013128979870131815,"Safe Zone (Low Return, Low Risk)"
BS,0.0007066322020025144,0.014071960573159232,"Gold Zone (High Return, Low Risk)"
BTEI,-0.0007081699909360158,0.027239082561947472,"Danger Zone (Low Return, High Risk)"
BT,-7.92569556522978e-05,0.01310989806767833,"Safe Zone (Low Return, Low Risk)"
CC,0.0005326533888939442,0.014950988550299539,"Gold Zone (High Return, Low Risk)"
CELL,-0.001504579905736518,0.033820949122200926,"Danger Zone (Low Return, High Risk)"
CIL,0.0011652701344210526,0.02887907836697163,"Speculative Zone (High Return, High Risk)"
CITY,0.0008501173013700619,0.014781185691211417,"Gold Zone (High Return, Low Risk)"
DH,-0.00010557927153279541,0.010741007482039319,"Safe Zone (Low Return, Low Risk)"
ECYCL,-0.0005477987303319764,0.01446588032599784,"Safe Zone (Low Return, Low Risk)"
GIF,-0.000151369524310836,0.03607421902423825,"Danger Zone (Low Return, High Risk)"
HANL,0.0013217206827774147,0.022458972306896734,"Speculative Zone (High Return, High Risk)"
ICF,0.0005072131806321223,0.01641229328073642,"Gold Zone (High Return, Low Risk)"
LNDOR,-0.00015288103043097493,0.017271344323583855,"Safe Zone (Low Return, Low Risk)"
LSTR,-0.0027373602779469973,0.04636312763934046,"Danger Zone (Low Return, High Risk)"
MIP,0.006685066539320355,0.12705184433744615,"Speculative Zone (High Return, High Risk)"
MNP,-6.395585276826359e-05,0.022094457585092188,"Danger Zone (Low Return, High Risk)"
MPBS,0.0006636245722206189,0.01970401425543261,"Speculative Zone (High Return, High Risk)"
NAKL,0.00010653446737078954,0.012380929375193698,"Gold Zone (High Return, Low Risk)"
NBL,0.00038765561590172257,0.017725166578172188,"Speculative Zone (High Return, High Risk)"
OTH,0.00014229778331577872,0.011110814830835718,"Gold Zone (High Return, Low Risk)"
PLAST,-0.0002664139548655676,0.027569351872688556,"Danger Zone (Low Return, High Risk)"
PLTU,-0.000809100034401456,0.031315861142714715,"Danger Zone (Low Return, High Risk)"
POULA,-0.00041379385309054084,0.01768133979546399,"Danger Zone (Low Return, High Risk)"
SAH,-0.00018783951160137186,0.014677388142666638,"Safe Zone (Low Return, Low Risk)"
SAMAA,0.0004667234159533935,0.016895877580530832,"Gold Zone (High Return, Low Risk)"
SERVI,-0.0027480375564078526,0.06077294871609752,"Danger Zone (Low Return, High Risk)"
SFBT,-0.0005105945411788343,0.010441938191491501,"Safe Zone (Low Return, Low Risk)"
SIAM,0.00034639266002673536,0.013758620300084642,"Gold Zone (High Return, Low Risk)"
SIPHA,0.0018008546492382987,0.04666994668346908,"Speculative Zone (High Return, High Risk)"
SITS,-0.0008459422299424683,0.031527037484348826,"Danger Zone (Low Return, High Risk)"
SMD,0.0017729683172928762,0.03927336116784667,"Speculative Zone (High Return, High Risk)"
SOKNA,-0.0010858333838997406,0.028246837280088574,"Danger Zone (Low Return, High Risk)"
SOPAT,0.0008444873808017564,0.020323372552705134,"Speculative Zone (High Return, High Risk)"
SOTE,-9.378806593594227e-05,0.019296266581874107,"Danger Zone (Low Return, High Risk)"
SPDI,-4.1638129080554185e-06,0.01609654135859915,"Safe Zone (Low Return, Low Risk)"
STAR,0.0010725223033204558,0.020889575596029976,"Speculative Zone (High Return, High Risk)"
STB,0.00010077204591115764,0.016457400417759716,"Safe Zone (Low Return, Low Risk)"
STIP,0.006980060836435315,0.06409320777997564,"Speculative Zone (High Return, High Risk)"
STVR,0.0011531632014897422,0.012722832617208992,"Gold Zone (High Return, Low Risk)"
TINV,0.0019364890283568147,0.03405330864416599,"Speculative Zone (High Return, High Risk)"
TJL,0.0013367043524758824,0.02094466902540778,"Speculative Zone (High Return, High Risk)"
TLNET,-0.00041310104811390124,0.011959975619268684,"Safe Zone (Low Return, Low Risk)"
TLS,0.0007846597423476852,0.0180841122959957,"Speculative Zone (High Return, High Risk)"
TRE,-0.00010676859964032205,0.016927917277727682,"Safe Zone (Low Return, Low Risk)"
UBCI,-8.93338578573686e-05,0.02154405226744884,"Danger Zone (Low Return, High Risk)"
UIB,0.000620527364768675,0.013501260755136213,"Gold Zone (High Return, Low Risk)"
UMED,-0.00025699429206121736,0.014250717711962527,"Safe Zone (Low Return, Low Risk)"
WIFAK,0.0008377363458430805,0.015478880436606089,"Gold Zone (High Return, Low Risk)"
