"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2023","74.80","74.00","74.80","74.00","0.09K","1.08%"
"09/18/2023","74.00","73.00","74.80","73.00","0.32K","0.00%"
"09/15/2023","74.00","75.00","75.00","74.00","0.16K","-1.32%"
"09/13/2023","74.99","74.99","74.99","74.99","0.00K","0.00%"
"09/12/2023","74.99","74.99","74.99","74.00","0.48K","-0.01%"
"09/11/2023","75.00","74.00","75.00","74.00","0.05K","0.00%"
"09/08/2023","75.00","73.70","75.00","73.40","0.39K","1.76%"
"09/07/2023","73.70","73.56","73.80","73.50","0.37K","-0.14%"
"09/06/2023","73.80","75.01","75.01","73.60","0.65K","-1.60%"
"09/05/2023","75.00","75.00","75.70","74.50","0.35K","0.67%"
"09/04/2023","74.50","74.50","74.50","74.50","0.09K","-1.57%"
"09/01/2023","75.69","75.65","75.69","74.61","0.61K","0.00%"
"08/31/2023","75.69","75.00","75.69","75.00","0.32K","0.92%"
"08/30/2023","75.00","75.00","75.49","75.00","0.33K","-0.65%"
"08/29/2023","75.49","75.00","75.49","74.60","0.72K","0.65%"
"08/28/2023","75.00","75.99","75.99","75.00","0.32K","-1.30%"
"08/25/2023","75.99","75.00","75.99","75.00","0.80K","-0.01%"
"08/24/2023","76.00","76.00","76.00","76.00","0.06K","-0.90%"
"08/23/2023","76.69","75.42","76.69","74.00","1.05K","-0.34%"
"08/22/2023","76.95","77.00","77.00","75.46","0.25K","-0.06%"
"08/21/2023","77.00","77.36","77.36","77.00","0.03K","-0.47%"
"08/18/2023","77.36","73.49","77.36","73.49","0.90K","5.97%"
"08/17/2023","73.00","72.00","73.50","72.00","0.50K","0.15%"
"08/16/2023","72.89","71.01","72.90","71.01","1.03K","-0.01%"
"08/15/2023","72.90","73.10","73.48","70.09","0.12K","-0.82%"
"08/14/2023","73.50","73.50","74.50","73.50","0.38K","0.00%"
"08/11/2023","73.50","76.39","76.49","71.91","1.53K","-3.92%"
"08/10/2023","76.50","77.10","77.30","76.50","1.30K","-3.15%"
"08/09/2023","78.99","78.00","78.99","77.50","0.16K","-1.75%"
"08/08/2023","80.40","80.50","80.50","80.10","0.03K","-1.03%"
"08/07/2023","81.24","81.62","81.62","81.24","0.23K","-0.93%"
"08/04/2023","82.00","82.60","82.60","82.00","0.12K","-0.74%"
"08/03/2023","82.61","83.20","83.20","82.61","0.17K","-0.71%"
"08/02/2023","83.20","83.20","83.20","83.20","0.10K","-0.05%"
"08/01/2023","83.24","83.23","83.24","83.23","0.05K","0.00%"
"07/31/2023","83.24","81.60","83.24","81.60","0.44K","-0.05%"
"07/28/2023","83.28","83.40","83.40","83.28","0.60K","-0.19%"
"07/27/2023","83.44","82.00","83.45","82.00","0.39K","-0.01%"
"07/26/2023","83.45","83.56","83.56","83.40","0.28K","-0.14%"
"07/24/2023","83.57","83.60","83.62","82.00","0.15K","-1.10%"
"07/21/2023","84.50","85.00","85.00","83.60","0.62K","-1.29%"
"07/20/2023","85.60","85.62","86.00","85.07","0.54K","-2.73%"
"07/18/2023","88.00","86.50","88.00","85.51","0.59K","0.00%"
"07/17/2023","88.00","88.70","88.70","87.50","0.18K","-0.79%"
"07/14/2023","88.70","87.51","88.80","87.51","0.15K","1.36%"
"07/13/2023","87.51","88.80","88.80","87.51","0.07K","-2.76%"
"07/12/2023","89.99","88.01","89.99","87.50","0.24K","2.26%"
"07/11/2023","88.00","89.11","90.00","88.00","0.32K","-2.22%"
"07/10/2023","90.00","90.00","90.40","90.00","0.08K","0.00%"
"07/07/2023","90.00","90.50","90.50","90.00","0.17K","-0.55%"
"07/06/2023","90.50","90.60","90.60","90.50","0.12K","0.00%"
"07/05/2023","90.50","92.30","92.90","90.50","0.26K","-1.95%"
"07/04/2023","92.30","87.00","92.30","87.00","0.72K","-5.82%"
"07/03/2023","98.00","96.55","98.49","96.40","0.63K","1.50%"
"06/30/2023","96.55","98.00","98.39","96.50","0.11K","-1.97%"
"06/27/2023","98.49","95.40","98.49","95.40","0.53K","0.56%"
"06/26/2023","97.94","95.31","97.94","95.30","0.90K","2.02%"
"06/23/2023","96.00","96.00","96.00","96.00","0.03K","-2.24%"
"06/22/2023","98.20","97.49","98.20","97.00","0.19K","1.24%"
"06/21/2023","97.00","98.00","98.00","97.00","0.39K","0.52%"
"06/20/2023","96.50","95.00","96.50","94.50","0.51K","0.73%"
"06/19/2023","95.80","96.00","96.00","95.50","0.21K","-1.12%"
"06/16/2023","96.89","96.90","96.90","96.89","0.02K","-0.11%"
"06/15/2023","97.00","97.50","98.39","97.00","0.24K","-1.41%"
"06/14/2023","98.39","96.00","98.40","96.00","0.01K","0.91%"
"06/13/2023","97.50","98.00","98.00","97.50","0.06K","-2.00%"
"06/12/2023","99.49","99.96","99.96","98.20","0.01K","-1.00%"
"06/09/2023","100.49","100.49","100.49","100.49","0.00K","1.01%"
"06/08/2023","99.49","98.99","99.50","98.00","0.58K","0.49%"
"06/07/2023","99.00","96.00","99.00","96.00","0.70K","2.06%"
"06/06/2023","97.00","97.00","97.49","94.91","0.24K","-0.51%"
"06/05/2023","97.50","94.80","97.50","94.80","0.10K","0.00%"
"06/01/2023","97.50","96.90","97.50","96.90","0.01K","1.04%"
"05/31/2023","96.50","95.00","96.50","94.60","1.29K","2.13%"
"05/30/2023","94.49","94.49","95.00","94.30","0.70K","0.00%"
"05/29/2023","94.49","94.00","94.49","94.00","0.27K","-0.01%"
"05/26/2023","94.50","94.45","94.50","94.00","0.34K","0.00%"
"05/25/2023","94.50","92.30","94.50","92.30","0.43K","0.53%"
"05/24/2023","94.00","92.12","94.00","92.12","0.19K","0.00%"
"05/23/2023","94.00","94.45","94.45","93.90","0.02K","1.08%"
"05/22/2023","93.00","94.50","94.50","93.00","0.29K","-1.59%"
"05/19/2023","94.50","93.50","94.50","93.50","0.18K","0.00%"
"05/18/2023","94.50","94.38","94.50","94.36","0.63K","0.13%"
"05/17/2023","94.38","92.98","94.38","92.75","0.92K","1.51%"
"05/16/2023","92.98","92.85","92.98","92.85","0.24K","-0.02%"
"05/15/2023","93.00","93.00","93.38","92.90","0.34K","-0.43%"
"05/12/2023","93.40","93.50","93.50","93.00","19.43K","-0.11%"
"05/11/2023","93.50","93.48","93.50","93.48","0.11K","0.59%"
"05/10/2023","92.95","92.96","93.00","92.95","0.07K","-0.05%"
"05/09/2023","93.00","94.48","94.48","93.00","0.69K","-2.00%"
"05/08/2023","94.90","94.94","94.94","92.92","0.39K","-0.11%"
"05/05/2023","95.00","94.95","95.00","93.60","0.33K","0.00%"
"05/04/2023","95.00","94.00","95.00","92.30","0.74K","0.26%"
"05/03/2023","94.75","94.89","94.89","92.25","0.62K","-0.22%"
"05/02/2023","94.96","93.10","94.96","92.00","0.18K","-0.04%"
"04/28/2023","95.00","98.00","98.00","95.00","0.46K","-2.06%"
"04/27/2023","97.00","96.30","98.00","96.00","0.59K","2.11%"
"04/26/2023","95.00","97.00","98.00","95.00","0.54K","-4.03%"
"04/25/2023","98.99","95.00","98.99","94.00","0.98K","3.22%"
"04/24/2023","95.90","92.91","96.00","92.91","2.45K","-0.91%"
"04/20/2023","96.78","97.00","98.00","96.78","1.79K","-5.99%"
"04/19/2023","102.95","102.70","102.95","100.00","0.40K","0.92%"
"04/18/2023","102.01","100.55","102.01","100.01","0.22K","-0.58%"
"04/17/2023","102.60","100.00","102.70","100.00","0.04K","-0.34%"
"04/14/2023","102.95","101.00","102.95","99.95","0.36K","-0.05%"
"04/13/2023","103.00","101.40","103.00","101.00","0.05K","-0.39%"
"04/12/2023","103.40","103.90","103.95","103.10","0.29K","-0.54%"
"04/11/2023","103.96","102.99","103.97","102.99","0.32K","4.06%"
"04/10/2023","99.90","100.50","100.51","99.90","0.22K","-1.10%"
"04/07/2023","101.01","101.98","103.00","101.00","0.83K","-0.95%"
"04/06/2023","101.98","101.00","101.98","100.00","0.96K","2.08%"
"04/05/2023","99.90","99.90","101.00","99.89","0.64K","0.00%"
"04/04/2023","99.90","99.95","100.00","99.90","0.26K","0.00%"
"04/03/2023","99.90","99.90","101.99","99.90","0.19K","0.00%"
"03/31/2023","99.90","99.90","101.80","99.50","0.62K","0.40%"
"03/30/2023","99.50","99.50","99.90","99.50","0.18K","0.00%"
"03/29/2023","99.50","99.51","99.98","99.50","0.28K","0.00%"
"03/28/2023","99.50","99.50","100.00","99.45","0.16K","0.00%"
"03/27/2023","99.50","99.35","99.50","99.35","0.12K","0.00%"
"03/24/2023","99.50","100.00","100.00","99.50","0.18K","-0.85%"
"03/23/2023","100.35","100.30","100.35","99.50","0.18K","0.05%"
"03/22/2023","100.30","100.40","100.40","99.55","0.53K","0.40%"
"03/21/2023","99.90","100.00","100.98","99.90","0.71K","-0.10%"
"03/17/2023","100.00","100.00","101.90","100.00","0.59K","0.00%"
"03/16/2023","100.00","100.00","101.95","100.00","0.89K","0.00%"
"03/15/2023","100.00","99.99","100.00","99.30","0.49K","0.39%"
"03/14/2023","99.61","99.70","99.98","99.50","0.21K","-0.38%"
"03/13/2023","99.99","99.99","100.00","99.98","0.36K","0.00%"
"03/10/2023","99.99","99.99","100.00","99.50","0.63K","0.00%"
"03/09/2023","99.99","99.70","100.00","99.65","1.25K","0.29%"
"03/08/2023","99.70","99.01","99.80","99.01","0.86K","0.30%"
"03/07/2023","99.40","98.50","100.00","98.50","1.21K","0.91%"
"03/06/2023","98.50","98.00","98.50","98.00","0.20K","0.00%"
"03/03/2023","98.50","97.80","98.50","97.00","0.84K","0.00%"
"03/02/2023","98.50","98.50","98.50","98.50","0.01K","-0.34%"
"03/01/2023","98.84","98.85","98.85","97.50","0.09K","-0.01%"
"02/28/2023","98.85","97.50","98.85","97.50","0.14K","0.00%"
"02/27/2023","98.85","98.89","98.89","97.50","0.20K","-0.04%"
"02/24/2023","98.89","97.99","98.89","96.01","1.40K","1.01%"
"02/23/2023","97.90","96.00","98.60","96.00","1.29K","1.98%"
"02/22/2023","96.00","96.00","96.00","95.50","0.31K","-0.92%"
"02/21/2023","96.89","95.50","96.89","95.40","0.30K","0.50%"
"02/20/2023","96.41","96.41","96.42","95.40","0.25K","1.27%"
"02/17/2023","95.20","96.33","96.50","95.00","0.74K","-1.17%"
"02/16/2023","96.33","96.30","96.33","95.50","0.78K","0.34%"
"02/15/2023","96.00","96.00","96.95","95.50","0.70K","0.00%"
"02/14/2023","96.00","95.50","96.00","95.50","0.03K","0.52%"
"02/13/2023","95.50","95.50","95.50","95.50","0.20K","0.41%"
"02/10/2023","95.11","95.50","95.99","95.11","0.19K","-0.92%"
"02/09/2023","95.99","95.50","95.99","95.50","0.03K","-0.01%"
"02/08/2023","96.00","95.30","96.00","95.00","0.68K","0.73%"
"02/07/2023","95.30","96.00","96.00","95.22","0.37K","-0.73%"
"02/06/2023","96.00","96.00","96.00","96.00","0.16K","-1.03%"
"02/03/2023","97.00","96.00","97.00","96.00","0.23K","1.89%"
"02/02/2023","95.20","97.27","97.27","95.20","0.62K","-2.16%"
"02/01/2023","97.30","95.21","97.30","95.20","0.44K","0.33%"
"01/31/2023","96.98","96.00","97.00","96.00","0.23K","0.81%"
"01/30/2023","96.20","95.30","96.99","95.30","0.34K","0.21%"
"01/27/2023","96.00","95.01","96.00","95.00","0.80K","0.00%"
"01/26/2023","96.00","96.00","97.00","95.01","0.65K","-1.42%"
"01/25/2023","97.38","97.38","97.38","97.38","0.00K","1.44%"
"01/24/2023","96.00","95.01","97.49","95.01","0.91K","1.04%"
"01/23/2023","95.01","97.48","97.48","95.01","0.60K","-2.55%"
"01/20/2023","97.50","98.00","98.50","97.00","3.15K","0.67%"
"01/19/2023","96.85","95.10","97.00","95.10","0.31K","-0.21%"
"01/18/2023","97.05","95.50","97.05","94.20","0.78K","1.52%"
"01/17/2023","95.60","96.00","96.00","94.50","0.65K","-0.42%"
"01/16/2023","96.00","96.50","97.00","95.10","0.14K","-1.03%"
"01/13/2023","97.00","97.65","97.65","95.03","0.88K","-0.87%"
"01/12/2023","97.85","95.03","97.85","95.02","1.22K","2.99%"
"01/11/2023","95.01","98.70","98.80","94.00","1.57K","-3.74%"
"01/10/2023","98.70","94.84","98.70","94.80","4.53K","4.00%"
"01/09/2023","94.90","93.60","94.90","93.60","0.24K","1.39%"
"01/06/2023","93.60","91.00","93.60","90.60","2.53K","2.87%"
"01/05/2023","90.99","90.95","91.00","90.50","0.73K","0.65%"
"01/04/2023","90.40","90.00","91.00","90.00","1.00K","0.41%"
"01/03/2023","90.03","90.00","90.04","90.00","0.23K","0.03%"
"01/02/2023","90.00","90.06","90.06","89.20","0.17K","-0.06%"
"12/30/2022","90.05","89.95","90.10","89.00","0.65K","0.11%"
"12/29/2022","89.95","88.10","89.95","88.10","0.05K","1.07%"
"12/28/2022","89.00","89.00","89.50","89.00","0.24K","-1.10%"
"12/27/2022","89.99","88.00","90.10","88.00","0.60K","0.21%"
"12/26/2022","89.80","89.50","89.80","88.00","0.21K","-0.17%"
"12/23/2022","89.95","89.96","89.96","89.95","0.09K","-0.01%"
"12/22/2022","89.96","89.96","89.96","89.95","0.20K","-0.03%"
"12/21/2022","89.99","89.99","89.99","89.99","0.01K","-0.01%"
"12/20/2022","90.00","88.40","90.00","88.26","0.04K","0.00%"
"12/19/2022","90.00","90.00","90.00","88.25","1.51K","0.00%"
"12/16/2022","90.00","89.90","90.00","89.90","0.21K","0.00%"
"12/15/2022","90.00","90.00","90.00","89.20","0.16K","0.00%"
"12/14/2022","90.00","89.21","90.00","89.20","0.59K","-0.11%"
"12/13/2022","90.10","90.00","90.10","89.20","0.58K","1.00%"
"12/12/2022","89.21","89.80","90.00","89.20","0.70K","-0.66%"
"12/09/2022","89.80","89.30","89.98","89.18","0.52K","0.65%"
"12/08/2022","89.22","89.98","89.98","89.22","0.60K","-0.87%"
"12/07/2022","90.00","90.00","90.00","89.99","0.57K","0.00%"
"12/06/2022","90.00","90.00","90.10","90.00","0.72K","0.00%"
"12/05/2022","90.00","90.35","90.35","90.00","0.44K","0.00%"
"12/02/2022","90.00","90.90","90.90","89.20","0.53K","0.00%"
"12/01/2022","90.00","89.89","90.00","89.30","0.94K","0.11%"
"11/30/2022","89.90","90.00","91.00","89.90","1.37K","-0.11%"
"11/29/2022","90.00","90.00","90.79","89.16","0.72K","-0.88%"
"11/28/2022","90.80","90.00","90.80","90.00","1.11K","0.89%"
"11/25/2022","90.00","90.00","90.84","90.00","0.40K","0.56%"
"11/24/2022","89.50","90.94","90.94","89.50","1.03K","-0.11%"
"11/23/2022","89.60","90.35","90.98","89.60","0.02K","-0.85%"
"11/22/2022","90.37","90.30","90.37","89.20","4.11K","-0.02%"
"11/21/2022","90.39","89.20","90.39","89.06","0.11K","-0.01%"
"11/18/2022","90.40","90.53","90.53","89.10","0.21K","-0.20%"
"11/17/2022","90.58","89.30","90.59","89.11","0.37K","-0.34%"
"11/16/2022","90.89","91.00","91.00","89.10","0.39K","0.15%"
"11/15/2022","90.75","91.00","91.00","89.50","0.05K","-0.26%"
"11/14/2022","90.99","91.00","91.00","89.95","0.20K","-0.01%"
"11/11/2022","91.00","91.39","91.39","90.00","0.35K","-0.49%"
"11/10/2022","91.45","90.70","91.45","89.05","0.56K","1.61%"
"11/09/2022","90.00","90.00","91.20","89.32","0.22K","0.00%"
"11/08/2022","90.00","90.00","91.49","90.00","0.51K","0.00%"
"11/07/2022","90.00","91.44","91.70","90.00","0.49K","-1.37%"
"11/04/2022","91.25","91.28","91.29","89.50","0.60K","0.62%"
"11/03/2022","90.69","90.80","90.80","90.69","0.12K","0.21%"
"11/02/2022","90.50","91.08","91.08","89.60","0.71K","-0.76%"
"11/01/2022","91.19","91.84","91.84","89.60","0.73K","0.21%"
"10/31/2022","91.00","91.37","91.37","89.50","0.80K","0.00%"
"10/28/2022","91.00","89.99","91.00","89.99","0.15K","0.66%"
"10/27/2022","90.40","90.87","90.87","89.50","0.44K","-0.53%"
"10/26/2022","90.88","91.05","91.05","89.25","0.35K","-0.56%"
"10/25/2022","91.39","91.45","91.45","89.22","1.51K","0.48%"
"10/24/2022","90.95","90.98","91.00","90.00","0.31K","-0.04%"
"10/21/2022","90.99","91.00","91.00","89.19","0.08K","-0.01%"
"10/20/2022","91.00","92.00","92.00","90.00","1.60K","-0.51%"
"10/19/2022","91.47","91.49","92.35","90.00","1.68K","1.07%"
"10/18/2022","90.50","90.50","91.45","90.50","0.22K","0.00%"
"10/17/2022","90.50","91.50","91.50","90.36","0.35K","-0.32%"
"10/14/2022","90.79","90.35","91.49","90.30","0.25K","-0.45%"
"10/13/2022","91.20","90.35","91.20","90.25","0.32K","-0.33%"
"10/12/2022","91.50","91.79","91.79","90.51","0.37K","0.00%"
"10/11/2022","91.50","91.79","92.00","90.71","0.89K","-0.54%"
"10/10/2022","92.00","92.50","92.80","91.58","0.04K","0.46%"
"10/07/2022","91.58","90.90","91.58","90.26","0.29K","-1.53%"
"10/06/2022","93.00","93.88","93.88","90.21","0.62K","-1.01%"
"10/05/2022","93.95","94.00","94.00","92.00","0.14K","1.13%"
"10/04/2022","92.90","93.40","93.40","92.00","0.55K","0.00%"
"10/03/2022","92.90","94.06","94.50","92.90","0.49K","-2.21%"
"09/30/2022","95.00","95.00","95.50","94.12","2.47K","0.16%"
"09/29/2022","94.85","94.20","94.85","94.20","0.34K","-0.05%"
"09/28/2022","94.90","94.79","94.90","94.21","1.63K","0.41%"
"09/27/2022","94.51","94.50","94.79","94.50","0.16K","-0.11%"
"09/26/2022","94.61","95.50","95.50","94.60","1.06K","-1.75%"
"09/23/2022","96.30","95.00","96.30","94.80","0.61K","1.05%"
"09/22/2022","95.30","94.60","96.90","94.60","0.35K","0.00%"
"09/21/2022","95.30","94.65","95.30","94.61","1.16K","0.11%"
"09/20/2022","95.20","94.64","95.30","94.63","1.41K","0.60%"
"09/19/2022","94.63","95.00","95.28","94.62","0.31K","-0.69%"
"09/16/2022","95.29","95.01","95.29","94.61","0.90K","0.29%"
"09/15/2022","95.01","95.52","95.52","95.01","1.26K","-0.53%"
"09/14/2022","95.52","96.00","96.00","95.52","0.89K","-0.50%"
"09/13/2022","96.00","96.02","96.30","96.00","2.16K","-0.30%"
"09/12/2022","96.29","95.66","96.40","95.52","1.59K","-0.11%"
"09/09/2022","96.40","95.65","96.40","95.65","2.03K","0.00%"
"09/08/2022","96.40","96.00","96.49","95.30","3.77K","0.43%"
"09/07/2022","95.99","94.53","97.10","94.52","1.63K","-0.43%"
"09/06/2022","96.40","95.10","96.40","94.01","1.45K","0.21%"
"09/05/2022","96.20","93.50","96.30","93.50","1.72K","2.89%"
"09/02/2022","93.50","95.01","95.01","93.19","1.70K","-3.79%"
"09/01/2022","97.18","99.90","99.99","92.01","7.47K","12.35%"
"08/29/2022","86.50","84.51","86.50","84.51","0.12K","1.18%"
"08/26/2022","85.49","84.68","85.50","84.01","1.51K","0.94%"
"08/24/2022","84.69","84.70","84.70","83.49","0.93K","2.53%"
"08/23/2022","82.60","84.50","84.83","82.25","0.18K","-2.82%"
"08/22/2022","85.00","85.00","85.00","84.50","0.09K","-0.47%"
"08/18/2022","85.40","85.17","85.40","84.01","0.08K","-0.12%"
"08/17/2022","85.50","85.02","85.50","85.00","0.16K","0.12%"
"08/16/2022","85.40","86.00","86.00","85.40","0.07K","-0.12%"
"08/15/2022","85.50","85.11","86.50","85.10","0.12K","-0.47%"
"08/12/2022","85.90","85.31","86.00","85.00","0.13K","-0.12%"
"08/11/2022","86.00","85.99","86.50","85.90","0.05K","0.00%"
"08/10/2022","86.00","87.00","87.00","86.00","0.27K","0.00%"
"08/09/2022","86.00","85.50","87.00","84.51","0.42K","1.18%"
"08/08/2022","85.00","83.51","85.00","83.51","0.59K","2.16%"
"08/05/2022","83.20","83.01","83.20","82.20","0.31K","1.22%"
"08/04/2022","82.20","83.40","83.40","82.20","0.00K","0.11%"
"08/03/2022","82.11","83.00","83.00","82.10","0.09K","-0.47%"
"08/02/2022","82.50","82.49","82.60","82.00","0.09K","0.61%"
"08/01/2022","82.00","81.89","82.59","81.00","0.04K","0.12%"
"07/29/2022","81.90","80.00","82.50","80.00","0.18K","2.38%"
"07/28/2022","80.00","80.00","80.00","79.64","0.02K","0.38%"
"07/27/2022","79.70","79.63","80.00","79.62","0.27K","-0.38%"
"07/26/2022","80.00","79.72","80.00","79.72","0.02K","-0.10%"
"07/22/2022","80.08","80.00","80.08","79.63","0.08K","0.10%"
"07/21/2022","80.00","80.00","80.00","80.00","0.08K","-0.10%"
"07/20/2022","80.08","79.20","81.00","79.20","2.40K","1.38%"
"07/19/2022","78.99","78.65","79.10","78.50","0.30K","-0.63%"
"07/18/2022","79.49","79.49","79.49","79.49","0.00K","0.37%"
"07/15/2022","79.20","79.50","79.50","79.00","0.26K","-0.38%"
"07/14/2022","79.50","79.99","80.00","79.20","0.94K","-0.63%"
"07/13/2022","80.00","80.00","80.39","79.90","0.26K","0.00%"
"07/12/2022","80.00","80.00","80.40","80.00","0.17K","-0.50%"
"07/11/2022","80.40","80.40","80.40","80.40","0.02K","-0.12%"
"07/08/2022","80.50","79.80","80.50","79.80","0.17K","-0.59%"
"07/07/2022","80.98","80.20","80.98","80.20","0.40K","0.85%"
"07/06/2022","80.30","79.50","80.50","78.60","0.77K","-0.25%"
"07/05/2022","80.50","79.50","80.95","79.50","0.08K","-0.59%"
"07/04/2022","80.98","80.05","81.00","79.01","0.18K","-0.02%"
"07/01/2022","81.00","81.00","81.00","81.00","0.08K","1.25%"
"06/30/2022","80.00","81.01","81.01","80.00","0.33K","-2.91%"
"06/29/2022","82.40","82.00","82.99","81.00","0.59K","0.00%"
"06/28/2022","82.40","82.50","82.50","80.85","0.21K","-1.28%"
"06/27/2022","83.47","83.47","83.47","83.47","0.02K","-1.18%"
"06/24/2022","84.47","84.45","84.47","84.20","0.15K","0.02%"
"06/23/2022","84.45","84.48","84.48","83.50","0.53K","-0.04%"
"06/22/2022","84.48","83.01","84.48","83.01","0.52K","0.21%"
"06/21/2022","84.30","84.00","84.30","84.00","0.20K","0.36%"
"06/20/2022","84.00","84.00","84.47","84.00","0.20K","-0.47%"
"06/17/2022","84.40","83.01","84.40","83.01","0.55K","1.67%"
"06/16/2022","83.01","84.49","84.49","83.00","0.19K","-1.75%"
"06/15/2022","84.49","84.97","84.97","83.00","0.01K","0.58%"
"06/14/2022","84.00","84.00","84.00","83.00","0.04K","-1.48%"
"06/13/2022","85.26","85.26","85.27","84.70","0.06K","0.09%"
"06/10/2022","85.18","83.75","85.18","83.75","0.07K","2.38%"
"06/09/2022","83.20","83.75","83.75","82.54","0.34K","0.24%"
"06/08/2022","83.00","83.75","83.75","83.00","0.89K","-0.38%"
"06/07/2022","83.32","84.98","85.00","83.00","0.88K","-0.51%"
"06/06/2022","83.75","84.70","84.97","83.00","0.35K","0.52%"
"06/03/2022","83.32","83.21","85.98","83.20","0.61K","-3.45%"
"06/01/2022","86.30","86.25","86.30","85.75","0.17K","-0.12%"
"05/31/2022","86.40","86.49","86.49","85.50","0.07K","0.00%"
"05/30/2022","86.40","86.00","86.50","86.00","0.30K","1.05%"
"05/27/2022","85.50","83.95","85.50","83.95","0.89K","1.85%"
"05/26/2022","83.95","82.20","83.95","82.20","0.07K","0.00%"
"05/25/2022","83.95","83.95","83.95","83.00","0.13K","-0.06%"
"05/24/2022","84.00","83.95","84.00","83.95","0.22K","-0.47%"
"05/23/2022","84.40","83.90","84.40","83.90","0.79K","0.48%"
"05/20/2022","84.00","83.50","84.50","83.00","0.39K","0.01%"
"05/19/2022","83.99","83.99","83.99","83.99","0.01K","-0.60%"
"05/18/2022","84.50","84.50","84.50","84.50","0.00K","0.00%"
"05/17/2022","84.50","84.49","84.50","84.49","0.01K","-0.59%"
"05/16/2022","85.00","82.95","85.00","82.95","0.60K","2.60%"
"05/13/2022","82.85","82.70","82.90","82.00","0.57K","0.06%"
"05/12/2022","82.80","80.10","82.80","80.10","0.06K","0.00%"
"05/11/2022","82.80","82.90","82.90","82.80","0.25K","-0.12%"
"05/10/2022","82.90","80.50","82.90","80.50","0.00K","-0.06%"
"05/09/2022","82.95","81.30","82.95","81.30","0.54K","0.00%"
"05/06/2022","82.95","82.00","82.95","80.00","0.62K","-0.06%"
"05/05/2022","83.00","82.50","83.00","82.50","0.12K","0.00%"
"05/04/2022","83.00","82.00","83.00","82.00","0.06K","0.00%"
"04/29/2022","83.00","81.50","83.00","81.50","1.73K","1.84%"
"04/26/2022","81.50","80.17","81.50","80.17","0.03K","-0.37%"
"04/25/2022","81.80","80.00","81.80","80.00","0.06K","-0.12%"
"04/22/2022","81.90","82.70","83.50","81.00","0.29K","-2.37%"
"04/21/2022","83.89","82.01","84.50","82.01","1.62K","2.43%"
"04/20/2022","81.90","81.00","82.00","80.00","0.20K","1.11%"
"04/18/2022","81.00","79.01","81.50","79.01","2.15K","0.75%"
"04/15/2022","80.40","80.00","80.50","79.80","0.23K","-0.12%"
"04/14/2022","80.50","80.00","81.00","80.00","0.26K","0.63%"
"04/13/2022","80.00","80.52","81.50","80.00","0.25K","-0.65%"
"04/12/2022","80.52","81.50","82.00","80.52","0.28K","-1.80%"
"04/08/2022","82.00","79.80","82.00","79.80","0.46K","2.50%"
"04/07/2022","80.00","80.80","81.80","80.00","0.73K","-2.44%"
